,工作名称,工作城市,工作地点,工作公司,工作薪资,最大薪资(K),最小薪资(K),平均工资(K),工作学历,工作标签,工作经验,招聘详情页链接
1344,高薪诚聘Python开发工程师,天津,天津·西青区·侯台,汇智星源,7-12K·14薪,12,7,9.5,本科,信息安全,1-3年,https://www.zhipin.com/gongsi/a741b9a23a26d8491nd73dS8FQ~~.html
1346,python,天津,天津·西青区·大学城,博雅创智,7-12K,12,7,9.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/177f0e493042ebd41nx_39S8Eg~~.html
1347,Python工程师,天津,天津·河西区·土城,云脉三六五,10-15K·13薪,15,10,12.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/67384a81b8c7ef440nV80tm4.html
1348,Python,天津,天津·河西区·大营门,华德智慧能源,6-10K,10,6,8.0,本科,新能源,经验不限,https://www.zhipin.com/gongsi/6a3c3df5f90956cc1H142t-_Eg~~.html
1349,python数据处理,天津,天津·滨海新区·开发区,北京蓝力达,8-13K,13,8,10.5,本科,计算机硬件,经验不限,https://www.zhipin.com/gongsi/6bdf7ecc96213c311nF_2925FA~~.html
1350,Python开发工程师,天津,天津·西青区·侯台,凯尔斯诺科技有限公司,6-8K,8,6,7.0,大专,电子商务,1-3年,https://www.zhipin.com/gongsi/1bd4b338969fe9d41nB63di-EFs~.html
1351,python开发工程师 web方向,天津,天津·滨海新区·泰达MSD,鱼鹰供应链,8-12K,12,8,10.0,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/f9d1d64d2ce5151c1nx43NS5Fw~~.html
1352,Python开发工程师,天津,天津,中广智诚科技,10-12K,12,10,11.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/616c139c0e8155fa1nRy2dS9EVA~.html
1353,Python开发助理,天津,天津·津南区·双港,链数科技,5-6K,6,5,5.5,本科,互联网,1年以内,https://www.zhipin.com/gongsi/fb53897d4ccaafc803B-3du5Fg~~.html
1354,Python初级开发工程师,天津,天津,数港科技,7-12K,12,7,9.5,本科,数据服务,在校/应届,https://www.zhipin.com/gongsi/97e60ae21d584dad1XB-3NS_Eg~~.html
1355,Python后端开发工程师,天津,天津·滨海新区·响螺湾商圈,中科数软,10-15K,15,10,12.5,大专,计算机软件,1-3年,https://www.zhipin.com/gongsi/0ab329f071257c891nJ53tq6E1E~.html
1356,python研发工程师,天津,天津·西青区·侯台,天睿科技,5-10K,10,5,7.5,本科,互联网,经验不限,https://www.zhipin.com/gongsi/c1d0a057b111d2740nB_09S1.html
1357,Python工程师,天津,天津·南开区·鼓楼,荣联汇智,4-6K,6,4,5.0,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/ac3d9aa9f2ca8af10HZ-2N2_.html
1358,Python,天津,天津·西青区·大学城,道简智创,8-12K,12,8,10.0,本科,计算机服务,3-5年,https://www.zhipin.com/gongsi/899c73d58eb4c2ce1nN-3Nm0GFo~.html
1359,兼职少儿编程老师,天津,天津·武清区·保利,爱渥特,4-5K,5,4,4.5,本科,培训机构,1-3年,https://www.zhipin.com/gongsi/44ec84c1d2c1504b0Xx72tW5FA~~.html
